ID	Name	Secret
754	FICHTENWEG	QJmb3jr5
755	PESTALOZZISTRASSE	z9zuB2Kz
756	GALGENHEIDE	eXY7DsrU
757	FRANKENWEG	ChsmNGjG
758	AM PASTORENBUSCH	McCcfZJV
759	AM PASTORENBUSCH	BE889ckH
760	AM PASTORENBUSCH	CKEuVJPr
761	UFERSTRASSE	LETkm7XA
762	AM STEINTOR	MMsb6fAM
763	LIBORISTRASSE	4BRndQja
764	KIRCHHOFFWEG	f4gVcMK4
765	AM HOF HESSELMANN	JcFBWpZz
766	RUBENSSTRASSE	AxfjHxqG
767	ALTE SCHANZE	uVhQ7M3Y
768	KLEIHORSTSTRASSE   	KQaDvdXQ
769	ELISABETH-KIRCHPLATZ	hKEECYe4
770	AASEE: MECKLENBECKER STRASSE	YGS8YezD
771	AASEE: MECKLENBECKER STRASSE	3UAvH3vj
772	VON-OSSIETZKY-STRASSE	UEBp9eEA
773	AM HAUPTZENTRUM KINDERHAUS	MKDRA2jM
774	BIEDERLACKWEG	uLcgBXp2
775	GESCHERWEG - WEST	DuHt4Mef
776	GESCHERWEG - WEST	XaHnu9gC
777	AASEEMARKT, GOERDELERSTRASSE	YQyuFxcm
778	AASEEMARKT, GOERDELERSTRASSE	EjN5CJSw
779	LEGDENWEG-OST	nxPGYHjK
780	MINDENER STRASSE	FAAxDQyd
781	ALBERT-SCHWEITZER-SCHULE	n8Uh5kRm
782	RIGAWEG	DV6FBF5Y
783	THOMAS-MORUS-SCHULE	X3ncspfp
784	SAMLANDUFER	ZxvJsAeN
785	SAMLANDUFER	v3N2dq9k
786	IDASCHULE, VÖRNSTE ESCH	ecwAaQuG
787	SANKT-JOSEF-KIRCHPLATZ	5VrnMKHr
788	ALBACHTENER STRASSE	xCtJytpb
789	BODELSCHWINGHSTRASSE	KvcgMsfJ
790	BOELESTRASSE	pzVH94Z2
791	LANGE KUHLE	c6BR6wQa
640	HOPPENGARTEN-SÜD	EGt2C66h
641	AM HORNBACH	nZJdqvG9
642	VOGELROHRSHEIDE	9Z997sPU
643	KUPFERBRINK	B2RJBjPx
644	BENTELERSTRASSE	8nKmmN4J
645	HÄGER	pwYx7p7W
646	MEMMERTWEG-NORD	BpPMwJRn
647	MEMMERTWEG-NORD	aUuDCRks
648	AM KALVARIENBERG	YY8kZtKb
649	CANISIUSWEG	BmpmVAP8
650	NISINGHOVERWEG	QK2ZchBG
651	STAUFENSTRASSE	j6qGxYN8
652	DAHLWEG	JVKskMGp
653	SEPPENRADEWEG	9gvKzvHF
654	AM BURLOH	gBFmp948
655	GIEVENBACHTAL	Mk9KHRcY
656	GIEVENBACHTAL	QWJFNZXH
657	GRÜNER GRUND	6EKEPeTe
658	GRÜNER GRUND	mv3Dgz5J
659	MEYERBEERSTRASSE	nXPUAug5
660	GRÜNER FINGER	QZfNSeHH
661	LINDENBREIE	2hE5QH2m
662	GRÜNER GRUND	CQ68bcxF
663	GRÜNER GRUND	SHQ7Z4gw
664	LEGDENWEG-WEST	7M4LHRpK
665	SPICHERNSTRASSE	cBFXLhaM
666	IM SEIHOF	SaSCvVx3
667	SCHARNHORSTSTRASSE	9wHdLq5m
668	WESTERHEIDE             	Q7924LZZ
669	WACHOLDERWEG	5ys73kVW
670	ZWI-SCHULMANN-WEG	vPZJmBcs
671	GALLENKAMP	MqBsWpUN
672	HERDINGSTRASSE	sGvyzEtu
673	SCHÜRBUSCH	dJzqadQf
674	GOLDAPER STRASSE	VW6T3xzc
675	DIRK-VON-MERVELDT-STRASSE	Mu3Q2mVE
676	PAUL-KLEE-WEG	Gyn4JUWq
677	DREIZEHNERSTRASSE	kdfLBL6a
792	ARNETHSTRASSE	JY7xP5U9
793	SERVATIIPLATZ	kvz9MwVJ
794	VERDISTRASSE	EyCHqrNt
795	DIEKBREE	cbfyX9Q9
796	BOCKHORSTSTRASSE	SeHEuubs
797	STREETBALLFLÄCHE NORMANNENWEG	ZNXy342M
798	TENGENKAMP	KWSx8H3T
799	BIRKENHEIDE I           	Q5dLLjmT
800	HEROLDSTRASSE (HEIDBUSCH)	WQFpmNWW
801	GIEVENBACHTAL	EKpJTGCv
802	GIEVENBACHTAL	YTSuyKHN
803	POTSTIEGE	kmvtPvh4
804	POTSTIEGE	EHnKKWWj
805	ÜBERWASSERSCHULE	CM6GPyvU
806	MATTHIAS-CLAUDIUS-SCHULE	6YJEeNgn
807	MATTHIAS-CLAUDIUS-SCHULE	ycERAVF7
808	ZUMSANDEPLATZ	dvnCeGrC
809	AN DER MEERWIESE-SÜD	vMVaWn6c
810	AN DER MEERWIESE-SÜD	JmF7m6vb
811	WICHERNSTRASSE	5nRxPJsP
812	TRESCKOWSTRASSE	YtQkuqSX
813	MARTIN-LUTHER-SCHULE	XaLTtCwt
814	HANS-BREDOW-WEG	Z9XjaTwP
815	HEIDKÖTTERSWEG	D8M4rSaR
816	TELGENWEG	MbVRP6WL
817	OSSENKAMPSTIEGE	keTtSZSN
818	AM BLÜTENHAIN	zrnCuR3S
819	WIERLING	SDLAZza2
820	WIEDEIKEN	YnaxtSrS
821	MATTHIAS-CLAUDIUS-SCHULE	C9k8JmvP
822	MATTHIAS-CLAUDIUS-SCHULE	EnZjBVmc
823	FALGERSTRASSE	syjSyrPM
824	FALGERSTRASSE	mRBYenP8
825	VIVALDISTRASSE	KFzuwQqK
826	ARNIKAWEG	ahWht9SG
827	AASEE: MECKLENBECKER STRASSE	rNScFpBN
828	AASEE: MECKLENBECKER STRASSE	wU8ntjrK
829	HÜNENBURG-MITTE	kbZyqsT9
830	ANGELMODDER WEG	URrESpr4
678	MIDDELKAMP (alt: OSTHUESHEIDE)	s6Yh4HdW
679	FLEIGESTRASSE	7YX9H5mh
680	BESSELWEG	SuzXjYW9
681	AN DER ALTEN KIRCHE	bTe8xkfd
682	STETTINER STRASSE	ahwZqEBP
683	HOHE GEEST	tEddWVQ7
684	HANSES-KETTELER-STRASSE	cyW4yVau
685	HOPPENGARTEN-NORD       	8ZFmWfMe
686	KÖNIGSBERGER STRASSE	rrKPSYqt
687	POTSTIEGE	NmjxCqfd
688	POTSTIEGE	eyqNRwYA
689	LANGEWORTH	XgFFPB76
690	PAPPELWEG	JcsPqvAn
691	MARKWEG	27SNdnDn
692	TER-BORCH-STRASSE	MG5FRDwp
693	AM PASTORENBUSCH	Ujuh2XrU
694	AM PASTORENBUSCH	cSTUcVaV
695	AM PASTORENBUSCH	tQu8WegA
696	BAININGSTRASSE	GPLrJwHN
697	AN DER KONRADKIRCHE	qC5NzYQK
698	COERDEPLATZ             	S6zyBVTk
699	EICHENDORFF-SCHULE	pUcafERe
700	BIRKENHEIDE II	6Km4Ej2t
701	MARTIN-NIEMÜLLER-PARK	sHqmZPnu
702	STODTBROCKWEG           	DchY4JER
703	HORSTMARER LANDWEG	afYkg9E5
704	JAHNSTRASSE	TQRbnqM5
705	GOLDBRINK	HkJPAgvC
706	HERRENSTRASSE	nrXyA6tH
707	BRÜNINGHEIDE	dGtEwtLM
708	GIGASSTRASSE	q8nbYJUV
709	ZEPPELINSTRASSE	kWrTZ8hT
710	JOHANNE-WALHORN-WEG	ynLcMJSS
711	GLUCKWEG	gpUMYSmX
712	KREUZSCHANZE	P2bTjMqb
713	KARDINALSTRASSE	VXR3HzzT
714	TOPPHEIDEWEG	KYYceKys
715	DREI EICHEN, NORD	cLnZ3sGx
716	VOSSBUSCH	y4MPJYSC
717	THEODOR-HEUSS-STRASSE	hvF6teeM
718	BODELSCHWINGHSCHULE	9jXBvsnm
719	GASSELSTIEGE - NORD	8kFnhyFv
720	TÖMMERSWEG	KBE79jSk
721	LECHTERSTRASSE	pjhJMxqs
722	AM LÜTKEBACH	8NJCPPwu
723	MARGARETENSCHULE, BRENTANOWEG 18	VYZvBX2Q
724	ZUM GUTEN HIRTEN	GxyPeyYV
725	LAERER LANDWEG	gSNkCdj2
726	KRANICHWEG	KbJuHqrT
727	MERGELBERG-NORD	agRSAUXy
728	AM KÄMPKEN	msZhj6h5
729	GUSTAV-FREYTAG-/ HEINR.-VON-KLEIST-STR.	H4UqwysK
730	SPRICKMANNSTRASSE 10	qaMmPdPu
731	NORDMARK	YscQ3SLn
732	GRONOWSKISTRASSE	6pLwfpfk
733	GEISTSCHULE	HLXuzNtq
734	HELENE-WEIGEL-WEG, alt: EINKAUFZENTRUM MEESENSTIEGE	ZUQ4bhNC
735	KÖSLINER STRASSE	gKYxxqeC
736	DRENSTEINFURTWEG	GEJbNy8X
737	KÖRNERSTRASSE	8TmQfcwx
738	EMIL-NOLDE-WEG	rAMadjcq
739	MEINERTZSTRASSE	e53B4JRQ
740	FRESNOSTRASSE           	M4fBFfR9
741	GELMERHEIDE	WTVYcVNb
742	WERSEAUE	dhqXBt5D
743	AN DER VOGELRUTE	DTyPfRGu
744	GESCHERWEG - WEST	Y5CUkVa8
745	GESCHERWEG - WEST	YpSWcf7x
746	STEVENINKSTRASSE	3d5HWZP7
747	GOTTFRIED-VON-CAPPENBERG-SCHULE, Glatzer Weg 9	SHCRcuxX
748	HANSAPLATZ	qYNmHuuh
749	APPELBREISTIEGE	qmbaMD4F
750	AM TINNENBUSCH	jAjTnXg5
751	PICTORIUSSTRASSE (BEGEGNUNGSRAUM)	DXFc8Bec
752	JOSEFSCHULE, HERMANNSTRASSE 58	L5Bj3nvL
753	SCHÜTZENHOF	xxwUjHnL
831	MAXIMILIANSTRASSE-SÜD	7abSUtdn
832	DREI EICHEN             	a4AEsh9Z
833	HAUS ANGELMODDE	cntS7dWT
834	MEMMERTWEG-NORD	Qq9Dxbtm
835	MEMMERTWEG-NORD	6WhCw5Ab
836	MÜHLENSTRASSE	JsGJh3r7
837	HEGERSKAMP	t8uqw9U6
838	AM PASTORENBUSCH	GdpZ6qqr
839	AM PASTORENBUSCH	nB7K8D8X
840	AM PASTORENBUSCH	sZNemKcJ
841	DREIFALTIGKEITSSCHULE	VAC4ddjd
842	ALSENSTRASSE	Zd5qePzb
843	EICHENWEG SÜD	nFp6j9Sq
844	AN DER MEERWIESE-MITTE	K2GArzNk
845	AN DER MEERWIESE-MITTE	XdmAswC8
846	AM EDELBACH	9hBeEvS7
847	AM EDELBACH	yXmtgFNp
848	ADMIRAL-SPEE-STRASSE	zyzGnc27
849	ENGELENSCHANZE	EaMY6uj8
850	RINKERODEWEG	eMWusDWC
851	SCHÖPPINGENWEG	hPwKs2pS
852	AGATHASTRASSE	6jVTsd2V
853	VÖGEDINGPLATZ	fRhNAqd8
854	AM HAUS NIENBERGE	cZJpeyK3
855	MAX-REGER-STRASSE	HnS5TqE8
856	TRINITATISKIRCHE, STRASSBURGER WEG	2puYQ4PK
857	DAUVEMÜHLE	ugG4R9XF
858	DYCKBURGSTRASSE	Py4XwEXn
859	KÖSTERS KÄMPKEN	XNNV9rCv
860	DAHLIENWEG	dkuafCPs
861	TANNENBERGSTRASSE	mpexK4Sd
862	GASSELSTIEGE - SÜD	DewuFexq
863	FERNHOLZSTRASSE	Zm9q4BKT
864	AM NATURDENKMAL	rEmvKrqP
865	AUF DEM DRAUN	4BHBCC6r
866	MARIENSCHULE	rBbvVxWa
867	GARTENSTIEGE	YXLhfgu3
868	KILLINGSTRASSE	ST4VaqaT
869	IM DAHL	R4fT3XR9
870	PATRONATSSTRASSE	8A6VLysV
871	FREIBURGER WEG	mZrCFbkw
872	PÖTTERHOEK	meWwd9Ee
873	AM HOF SCHULTMANN	KrywK2r7
874	SÜDPARK	Hqq3UAEN
875	GUT INSEL	k5M4GpfD
876	GUT INSEL	ByfwaBsz
877	BÖTTCHERSTRASSE	C9NVPd5t
878	WILHELMSTRASSE	ujfeRTyw
879	JOSEFINE-MAUSER-STRASSE	jthdfhXm
880	AM LODDENBACH           	tEpSEnRP
881	WIENER STRASSE	ZCQGqMCx
882	MALTESERSTRASSE	LFRZSdbm
883	ELBESTRASSE	pTXnD7jZ
884	HAUS WIEK	m585TsdC
885	STERNBUSCH	Bq67cUYD
886	VON-EINEM-STRASSE	rWkKTSqd
887	BRESLAUER STRASSE	jRHCW2UN
888	KIEBITZWEG	8ALfYt24
889	SAMLANDUFER	rwryuxUZ
890	SAMLANDUFER	vGHSyXVp
891	ALTHAUSWEG	bUzm3vfK
892	AM DILL	kEs8mHhk
893	WILKINGHEGE             	qP7FLYk3
894	HOHER HAINWEG	YsSqJ6HL
895	RÜPINGSTRASSE	xs6LtALF
896	KAPPENBERGER DAMM	nKV6ZmAc
897	NERZWEG	9CMAfpaU
898	STADTPARK WIENBURG	bGx2Xgkz
899	TOMKOTTEN	2uVgKv7v
900	ALTER ZOO	xtx3NfnU
901	WESELER STRASSE	AfQbEz4K
902	STUDTSTRASSE	yPdvCCXU
903	GUT INSEL	bRCK4ytD
904	GUT INSEL	nK6h9cDE
905	MAURITZ-LINDENWEG	StmgYjfP
906	AM KANONENGRABEN	vB7Ts9rL
907	AASEE: TORMINBRÜCKE	n5psDDM9
908	MIDDELFELD	r9bcuxMc
909	BERNHARD-POETHER-STRASSE	VY5mhHTp
910	VON-HOLTE-STRASSE	YPeRmsRN
911	TULPENWEG	RNS3ZNcA
912	SOESTER STRASSE	gpJTRu6w
913	FRIEDRICH-EBERT-STRASSE (STREETBALLPLATZ)	ufavtftQ
914	PARK SENTMARING             	Q3LeqQuF
915	HUBERTISTRASSE	q5KEHt6A
916	AN DER MEERWIESE-MITTE	u3V3n9Lh
917	AN DER MEERWIESE-MITTE	BEmQsuUt
918	FALGERSTRASSE	BUXQDHWZ
919	FALGERSTRASSE	RjN7NnAB
920	KEMPERWEG	FwzvxFJt
921	DÜESBERGWEG	YLqk7pvH
922	RINCKLAKEWEG	xrMBmZhV
923	MERGELBERG-SÜD	9mGMU6Ys
924	COERDEPLATZ	cU5vjqg7
925	DUNANTSTRASSE	B6zyFZxF
926	WILLINGROTT	4pPkxqvb
927	DIEPENBROCKSTRASSE	3WdU4HTj
928	SCHWARZER KAMP	TrpH3knp
929	SCHULTE-BERND-STRASSE	EwPn53pv
930	HOLSENKAMPWEG	Nj5sbLfd
931	KLEIMANNSTRASSE	DxEwHk7N
932	HOFFMANN-VON-FALLERSLEBEN-WEG	QFChvuAX
933	FRANZ-MARC-WEG	jm7PkwHq
934	FRITZ-PÜTTER-STRASSE	NGuCxz9u
935	KORBMACHERWEG	AUpNyrX7
936	MARTIN-NIEMÖLLER-STRASSE	F4cjUHgf
937	AM BERLER KAMP	KFeDyrmv
938	PARKALLEE	FyaA8fKe
939	MÖLLMANNSWEG	jfqMRFDP
940	NIENKAMP	gdEWJVXD
941	WINKELHEIDE	hHMrKsN9
942	SCHULCAMPUS ROXEL	nGxMq65e
943	HÖLDERLINWEG	3a4rjEXy
944	MELCHERSSTRASSE	ZVpa39XP
945	WESERSTRASSE	Te94mrLA
946	AN DER MEERWIESE-SÜD	KvET6JHS
947	AN DER MEERWIESE-SÜD	expDLHZA
948	AM EDELBACH	B98JLGVc
949	AM EDELBACH	Sxwr7KFs
950	HAMANNPLATZ	RC7Xsvhc
951	CARLO-SCHMID-WEG	LsjcsZCc
952	EIMERMACHERWEG	6YR2KSeg
953	JUFFERNKAMP	vdx6aUSj
954	BREITE LINDEL           	xY2BrMUj
955	AASEEMARKT, GOERDELERSTRASSE	GPfC8ZwG
956	AASEEMARKT, GOERDELERSTRASSE	vtjVrRWA
957	RJASANSTRASSE	pfJfSW9d
958	DREI EICHEN, MITTE	36yHgcD7
959	FELDSTIEGENKAMP	bSNxnVDu
960	ZUR WALBEKE	MnQzkSLd
961	CHRISTOPH-BERNHARD-GRABEN (WESTENKAMP)	nfvBqy4Q
962	HILTRUPER SEE	tsSffbwC
963	IM MOORHOOK	BEZFcESd
964	BRUCHFELDWEG	FL6YD47N
965	SCHEIBENSTRASSE	e6E2kfAs
966	HACKLENBURG	GswvgvNG
967	 ANTON-AULKE-STRASSE	gXKU2XzZ
968	SENTRUPER HÖHE (THERESIENSCHULE)	juMs4bAN
969	OSTSTRASSE	QzrBmAnp
970	BUXTRUP	CpCDf2qK
971	KRÜGERWEG	WH6aW8Cb
972	VINZENZWEG	xyVS6vzr
973	REHHAGEN	ndttpCab
974	ALTE FURT	xkg5jQ7G
975	MARTINISCHULE	FwEETzHu
976	AM SPIEKER	V2xkNNzX
977	IN DER AU	3vNef4E5
978	FRITZ-REUTER-STRASSE	2ftQLpb3
979	AM ROGGENKAMP	PJ2Q8mR2
980	NOTTULNER LANDWEG	gXh6PPfg
